query_id,query,classification,processable_entities,unprocessable_entities,justification
227,How much did I spend when I was out last weekend,processable,"last weekend spending (via transaction_booking_timestamp for Saturday-Sunday), spending filter (transaction_type), amount aggregation, optional category filtering for out-of-home spending","","Can identify last weekend dates (previous Saturday-Sunday), filter by transaction_type = 'spending', optionally filter for categories likely associated with 'being out' (Eating out, Entertainment, Transport), SUM amounts. Returns weekend spending total."
228,How much was my last insurance payment?,processable,"insurance payments (via Bills > Insurance category_id), most recent payment, amount retrieval","","Can filter by Insurance category_id, order by transaction_booking_timestamp DESC, LIMIT 1, return amount. Returns most recent insurance payment amount."
229,How much did I save through round ups last year?,processable,"roundup savings (via display_narrative patterns like 'ROUND UP'), last year filter (via transaction_booking_timestamp), amount aggregation","","Can filter by display_narrative ILIKE '%ROUND UP%' OR '%ROUNDUP%', filter by last year, SUM amounts. Returns total roundup savings accumulated last year. Duplicate of query 257."
230,Did I pay any overdraft fees this year,processable,"overdraft fees (via display_narrative patterns for overdraft fees), current year filter (via transaction_booking_timestamp), existence check","","Can search display_narrative for overdraft fee patterns (e.g., 'OVERDRAFT FEE', 'OVERDRAWN CHARGE'), filter by current year, check if COUNT > 0. Returns boolean answer or list of overdraft fee transactions."
231,How much do I typically spend between 8pm and 1am on Fridays?,processable,"Friday spending (via day-of-week from transaction_booking_timestamp), time range filter (8pm-1am - if timestamp includes time), spending aggregation, average calculation","","Can filter by Fridays (day-of-week from transaction_booking_timestamp) AND time between 20:00-01:00, calculate AVG spending. Note: Assumes transaction_booking_timestamp includes time-of-day component (hours/minutes). If timestamp is date-only without time component, cannot filter by 8pm-1am time range. Should verify timestamp granularity - may be INDETERMINATE if no time component available."
232,What is my budget for Groceries?,processable,"groceries budget (from budgets table via Groceries category_id)","","Can join to budgets table, filter by Groceries category_id (e63f7849-c0c0-012e-440e-3d0bc2c8ea94), return budget.amount. Returns grocery budget amount."
233,How much have I spent at Amazon in the last month,processable,"Amazon merchant (via display_narrative ILIKE), last month filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by display_narrative ILIKE '%Amazon%' OR '%AMZN%', filter by last month, SUM amounts. Standard merchant aggregation. Duplicate of query 90/234."
234,How much did I spend on my night out last night,processable,"last night spending (via transaction_booking_timestamp for yesterday), spending filter (transaction_type), amount aggregation, optional category filtering for night-out spending","","Can filter by yesterday's date, filter by transaction_type = 'spending', optionally filter for categories associated with nights out (Eating out, Entertainment, Transport, Drinks), SUM amounts. Returns total spending from last night."
235,What was my total spend whilst on holiday,indeterminate,"holiday/vacation spending, time period identification","reliable identification of holiday period and holiday-specific transactions","Cannot reliably identify which transactions occurred 'whilst on holiday' without: (1) knowing when holiday period was, (2) distinguishing holiday spending from regular spending. Vacation category exists but may not capture all holiday spending (groceries, transport during holiday). Would need explicit holiday date range from user or holiday booking confirmation to identify relevant transactions."
236,How many roundups did I save last year,processable,"roundup transaction count (via display_narrative patterns like 'ROUND UP'), last year filter (via transaction_booking_timestamp), transaction count","","Can filter by display_narrative ILIKE '%ROUND UP%' OR '%ROUNDUP%', filter by last year, COUNT transactions. Returns number of roundup savings transactions last year. Duplicate of query 260."
237,What's the fee for my account?,unprocessable,"account fee information","account fee policy - not in transaction data","Query asks for account fee structure/policy, not transaction data. While historical account fee transactions may be visible in data (display_narrative patterns for fees), cannot determine current fee schedule or fee rules from transaction history. Requires account terms/fee schedule information."
238,Am I on track to stay within my shopping budget this month?,processable,"shopping budget tracking (via budgets table and Shopping category_id), current month spending progress, budget threshold comparison, projection","","Can join to budgets table for shopping budget, calculate current-month-to-date shopping spending, compare to budget. Can project if on track by: (spending_so_far / days_elapsed) × days_in_month vs budget. Returns status (on track/over/under) with remaining budget and daily pace needed."
239,How much money did I receive from my savings account,processable,"savings account income (via Transfers > Savings category_id or display_narrative patterns for savings transfers), income filter (transaction_type = 'income'), amount aggregation","","Can filter by transaction_type = 'income' AND (Transfers > Savings category_id OR display_narrative patterns for savings), SUM amounts. Query lacks time range so aggregate all historical savings account income. Returns total received from savings account."
240,"what was my account balance at the end of 2023, and how much did i spend on online shopping?",indeterminate,"account balance at end of 2023 (via balance field from last 2023 transaction), online shopping spending aggregation","online shopping identification unreliable","Duplicate of query 210 - can get balance at end of 2023 by finding last transaction in 2023, return balance field. However, online shopping identification is unreliable without dedicated indicator. First part processable, second part indeterminate."
241,What is the trend of my monthly spending on 'Entertainment' merchant category in 2023?,processable,"Entertainment category spending trend (via Fun & leisure category_id), year 2023 filter (via transaction_booking_timestamp), monthly aggregation and trend analysis","","Duplicate of query 205 - can filter by Entertainment category, filter by 2023, group by month, show spending trend. Returns monthly Entertainment spending pattern for 2023."
242,What is the correlation between my account balance and my total monthly spending?,processable,"correlation analysis between account balance (via balance field) and monthly spending, statistical calculation","","Duplicate of query 206 - can extract balance values and monthly spending, calculate correlation coefficient. Returns correlation showing relationship between balance and spending."
243,Which merchant subcategories have seen the most significant increase in my spending over the past year?,processable,"merchant subcategories (via category_id tier 3), past year spending comparison (first vs second half or YoY), spending increase ranking","","Can filter by past year, compare spending in early period vs later period (or month-by-month), group by category_id (tier 3 subcategories), calculate increase amounts or percentages, rank by largest increase. Returns top subcategories with biggest spending growth."
244,What is the month-over-month growth rate of my spending in each merchant subcategory?,processable,"merchant subcategories (via category_id tier 3), monthly spending aggregation, month-over-month growth calculation","","Duplicate of query 207 - can group by category and month, calculate MoM growth rate per subcategory. Returns monthly growth rates for all subcategories."
245,How does my average daily spending in each merchant category compare to the average daily spending in the previous month?,processable,"merchant categories (via category_id), daily spending calculation, current vs previous month comparison, averaging","","Duplicate of query 58 - can group by category and date, calculate daily totals, average per category for current vs previous month. Returns daily spending comparison by category."
246,"What is the percentage of my total spending that each merchant category represents, and how has this percentage changed month-over-month?",processable,"spending by category percentage, month-over-month percentage change","","Duplicate of query 208 - can calculate category share of total spending per month, track changes over time. Returns category percentages and how they changed month-over-month."
247,"What is the trend of my monthly spending in each merchant category over the past year, and how does this compare to the trend of my overall monthly spending?",processable,"category-wise monthly spending trends, past year filter, overall spending trend comparison","","Duplicate of query 209 - can show category trends vs overall spending trend over past year. Returns comparative trend analysis."
248,"What are the top 3 merchant names where my spending has decreased the most in the last six months, and what is the percentage decrease for each?",processable,"merchant spending comparison (first 3 months vs last 3 months of 6-month period), spending decrease calculation, top 3 ranking","","Can compare merchant spending between first half and second half of last 6 months, group by display_narrative, calculate decrease: ((period1 - period2) / period1) × 100, filter for decreases only, order DESC, LIMIT 3. Returns top 3 merchants with biggest spending decreases and percentage changes."
249,"What percentage of my total expenses was spent on subscriptions this year, and how has that changed monthly?",processable,"subscription spending percentage (via D/D transactions), total expenses, current year filter, monthly percentage tracking","","Duplicate of query 214 - can calculate monthly subscription percentage of total spending throughout year. Returns monthly subscription spending percentages."
250,When did I make my first mortgage payment?,processable,"mortgage payments (via Mortgage category_id), earliest payment date","","Duplicate of query 82 - can filter by Mortgage category, order by date ASC, LIMIT 1. Returns first mortgage payment date."
251,How much have I saved this year?,processable,"savings this year (net income minus spending), current year filter, amount calculation","","Duplicate of queries 166/218 - can calculate net savings for current year. Returns yearly savings amount."
252,When do I get my Chb?,processable,"CHB/Child Benefit payment schedule (via display_narrative patterns), payment dates, frequency pattern identification","","Can filter by display_narrative patterns for Child Benefit (CHB), show historical payment dates, identify frequency pattern (monthly, fortnightly). Returns payment schedule showing when CHB is typically received. Note: Shows historical pattern, not future guaranteed dates."
253,What days am I most likely to order a takeaway?,processable,"takeaway orders (via Takeouts category_id), day-of-week analysis, frequency ranking","","Duplicate of query 106 - can analyze takeaway transactions by day-of-week, rank by frequency. Returns days ranked by takeaway likelihood."
254,How much money  have I transferred to my savings account this month?,processable,"savings transfers (via Transfers > Savings category_id), current month filter, amount aggregation","","Duplicate of query 111 - can filter by Transfers > Savings category and current month, SUM amounts. Returns total transferred to savings this month."
255,Am I spending more than usual?,processable,"spending pattern comparison (recent vs historical average), spending trend analysis","","Duplicate of query 224 - can compare recent spending to historical average to determine if above normal. Returns comparison showing if spending more than usual."
256,How much round ups did I save last year?,processable,"roundup savings amount (via display_narrative patterns), last year filter, amount aggregation","","Duplicate of queries 229/257 - can filter by roundup patterns and last year, SUM amounts. Returns total roundup savings last year."
257,Show me a breakdown of next month's predicted expenses by category.,unprocessable,"future expense prediction by category for next month","future spending prediction - only historical transaction data available","Cannot predict next month's expenses from transaction data alone. Would need predictive model or scheduled payment information. Historical patterns don't reliably predict future spending categories and amounts."
258,When was my last payment to John Smith?,indeterminate,"John Smith recipient identification, most recent payment date (via transaction_booking_timestamp)","reliable person-to-person payment identification and name matching","Can identify most recent outgoing payment date, but cannot reliably identify payments to 'John Smith'. Person-to-person transfers may not include recipient name in narratives, name format variations exist ('John Smith', 'J Smith', 'J. Smith', 'Smith John'), and cannot disambiguate between multiple people named John Smith. Would need payee_name field with normalized names or payee_id."
259,How many roundups did I save last year,processable,"roundup transaction count (via display_narrative patterns like 'ROUND UP'), last year filter (via transaction_booking_timestamp)","","Can filter by display_narrative ILIKE '%ROUND UP%' OR '%ROUNDUP%', filter by last year, COUNT transactions. Returns number of roundup savings transactions last year. Duplicate of query 236."
260,How many roundups did I save last year,processable,"roundup transaction count (via display_narrative patterns like 'ROUND UP'), last year filter (via transaction_booking_timestamp)","","Can filter by display_narrative ILIKE '%ROUND UP%' OR '%ROUNDUP%', filter by last year, COUNT transactions. Returns number of roundup savings transactions last year. Duplicate of queries 236 and 259."
